Species,Genus,Family,Ordo,Class,Phylum
"Aberratylus_aberrantis_(J.L._Barnard,_1962)",Aberratylus_[Arthropoda],Atylidae,Amphipoda,Malacostraca,Arthropoda
"Aberrodomus_candidus_Gordon,_1988",Aberrodomus_[Bryozoa],Bifaxariidae,Cheilostomatida,Gymnolaemata,Bryozoa
"Aberrodomus_pocillifer_(Harmer,_1957)",Aberrodomus_[Bryozoa],Bifaxariidae,Cheilostomatida,Gymnolaemata,Bryozoa
"Aberrodomus_sinuatus_(Harmer,_1957)",Aberrodomus_[Bryozoa],Bifaxariidae,Cheilostomatida,Gymnolaemata,Bryozoa
"Abietinaria_abietina_(Linnaeus,_1758)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_alexanderi_Nutting,_1904",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_alternitheca_(Kudelin,_1914)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_anguina_(Trask,_1857)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_annulata_(Kirchenpauer,_1884)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_compressa_(Merezhkovskii,_1878)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_crassiparia_Naumov,_1960",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_cruciformis_Antsulevich,_1987",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_derbeki_(Kudelin,_1913)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_elsaeoswaldae_Stechow,_1923",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_expansa_Fraser,_1938",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_filicula_(Ellis_&_Solander,_1786)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_fusca_(Johnston,_1847)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_gagarae_Naumov,_1960",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_gigantea_(Clark,_1877)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_gracilis_Nutting,_1904",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_greenei_(Murray,_1860)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_immersa_Vervoort,_1993",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_inconstans_(Clark,_1877)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_interversa_(Pictet_&_Bedot,_1900)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_juniperus_Kirchenpauer,_1884",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_kincaidi_(Nutting,_1901)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_laevimarginata_(Ritchie,_1907)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_macrotheca_Naumov,_1960",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_melo_Kirchenpauer,_1884",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_merkii_Kirchenpauer,_1884",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_pacifica_Stechow,_1923",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_pulchra_(Nutting,_1904)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_raritheca_Naumov,_1960",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_rigida_Fraser,_1911",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_smirnowi_(Kudelin,_1914)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_spiralis_Naumov,_1960",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_thuiarioides_(Clark,_1877)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_traski_(Torrey,_1902)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_trigona_Antsulevich,_1987",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_turgida_(Clark,_1877)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinaria_variabilis_(Clark,_1877)",Abietinaria_[Cnidaria],Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
"Abietinella_operculata_(Jderholm,_1903)",Abietinella_[Cnidaria],Lafoeidae,Leptothecata,Hydrozoa,Cnidaria
"Ablabys_binotatus_(Peters,_1855)",Ablabys_[Chordata],Tetrarogidae,Scorpaeniformes,Actinopterygii,Chordata
"Ablabys_macracanthus_(Bleeker,_1852)",Ablabys_[Chordata],Tetrarogidae,Scorpaeniformes,Actinopterygii,Chordata
"Ablabys_taenianotus_(Cuvier,_1829)",Ablabys_[Chordata],Tetrarogidae,Scorpaeniformes,Actinopterygii,Chordata
"Ablennes_hians_(Valenciennes,_1846)",Ablennes_[Chordata],Belonidae,Beloniformes,Actinopterygii,Chordata
